"shapeid","ID","ELEV"
0,"149222","500.0"
1,"149249","1800.0"
2,"149350","900.0"
3,"149367","1700.0"
4,"149527","900.0"
5,"149597","1600.0"
6,"149692","600.0"
7,"149723","1300.0"
8,"149726","1500.0"
9,"149783","1200.0"
10,"149945","400.0"
11,"149952","700.0"
12,"149970","1400.0"
13,"150042","400.0"
14,"150059","700.0"
15,"150197","1300.0"
16,"150653","1100.0"
17,"150658","1200.0"
18,"150991","1100.0"
19,"151149","900.0"
20,"151461","1000.0"
21,"151988","700.0"
22,"152198","900.0"
23,"152389","800.0"
